zgbh,icid
895652    ,3248012291
895849    ,0312545066
896095    ,3741555969
896446    ,2985519617
896455    ,3926588603
897435    ,0164096832
1333440   ,2676378747
1301811   ,0965116139
1308636   ,4130016270
1310054   ,0311357466
1960458   ,0770136183
1961732   ,2060104768
1962420   ,2624978688
1963262   ,2754607226
1964702   ,2673628763
1964763   ,0778623399
1965876   ,1767831243
1965878   ,2672123883
1966767   ,0768195303
1966817   ,0779062471
1967482   ,0065303671
1967567   ,1782750827
1967789   ,2049270288
1968158   ,2049246752
1968173   ,2676040923
1968422   ,4129648222
1968471   ,1577123536
1968548   ,0779576679
1968550   ,2668868075
1968563   ,2069157952
1968565   ,0879521707
1968580   ,1566237152
1968629   ,2064240640
1968631   ,0067245367
1968646   ,0065547863
1968678   ,0065349063
1968680   ,0067036615
1968729   ,1788794443
1968746   ,2674940443
1968748   ,3536129262
1968829   ,3536434798
1968848   ,4129840414
1968932   ,2066364912
1968947   ,0770338055
1968949   ,2622742000
1310681   ,4139667518
1959068   ,0778455879
1961176   ,0875456171
1961473   ,0778139271
1961569   ,2623294720
1961686   ,2673762555
1961749   ,2047684416
1962537   ,2063155664
1962562   ,2068835088
1964909   ,1576957952
1964924   ,0087134260
1965031   ,0867349195
1967287   ,1578584464
1967310   ,1578915072
1280961   ,4130960798
1281666   ,0065315287
1282168   ,4130874334
794953    ,3039086378
843462    ,2113425172
B3509     ,1444860381
1293548   ,0751366890
1300397   ,0869031435
1300446   ,1783065403
1366549   ,1605898250
1370253   ,4129875006
1954400   ,0873408331
1955049   ,0743548887
1956417   ,2674789659
1956434   ,0969077659
1956724   ,2069245744
1957651   ,2673616635
881224    ,2465471440
889968    ,4288377582
1362247   ,1790165163
1362455   ,2061933840
1362861   ,3739091380
1364083   ,1323750167
1365594   ,          
832815    ,2504926960
1344153   ,1768689531
1344679   ,1269244521
53987     ,4195638094
1970135   ,1782014075
895014    ,2060936832
895016    ,1437479805
896959    ,3285518065
897418    ,1763430107
897937    ,0969244155
899043    ,4130689742
1334396   ,0761091658
1335117   ,2059649264
41770     ,1074824364
46435     ,2069310672
47476     ,1018797020
52054     ,2114031188
73082K    ,4195654238
830696    ,3304234298
1316536   ,4134551646
1316597   ,0868862043
1317298   ,4129343742
30924     ,0769711063
37158     ,3592029876
1327569   ,0881304811
1304789   ,4129088686
1958820   ,2625754368
1961419   ,1903465069
1962506   ,1767226475
1965424   ,1784796059
1966603   ,2624099488
1967304   ,0778261815
1969168   ,0761675626
09342     ,2945372466
120121    ,0968332507
127013    ,0161626640
1280421   ,3209023938
1281531   ,1798979129
843594    ,0311135178
1291576   ,2069340480
1293598   ,2673134171
1368553   ,2770926683
1371256   ,0965387275
1956411   ,0165910000
891621    ,1649553813
1362805   ,1788159451
1365435   ,0873266395
1346481   ,2062747200
527245    ,3741282033
1970213   ,2061471568
893479    ,0776785141
896587    ,1764008475
896986    ,3742010961
1335732   ,1783354907
48346     ,1489731032
49442     ,0488878558
49618     ,1489663558
