08:16:12:6567712 Emp Update Insert===================
08:16:16:2029740 -->Query 111ClassSum:39674
08:16:20:6842303 -->Query ProgressEmpClassSum:39722
08:17:57:5157688 Emp Update Insert===================
08:18:00:4939391 -->Query 111ClassSum:39674
08:18:04:6411763 -->Query ProgressEmpClassSum:39722
08:21:11:1638448 -->insert111_EmpClassError,Rollback :索引超出范围。必须为非负值并小于集合大小。
参数名: index
08:27:04:6470629 Emp Update Insert===================
08:27:07:1432057 -->Query 111ClassSum:39674
08:27:11:3194445 -->Query ProgressEmpClassSum:39722
08:27:14:0866028 128544
08:27:14:0906030 128545
08:27:14:0936032 128546
08:27:14:0966034 128550
08:27:14:0996036 128551
08:27:14:1036038 128553
08:27:14:1076040 128554
08:27:14:1156045 128561
08:27:14:1186046 128562
08:27:14:1216048 128565
08:27:14:1246050 128572
08:27:14:1286052 128574
08:27:14:1316054 128578
08:27:14:1346056 128579
08:27:14:1376057 128590
08:27:14:1406059 128593
08:27:14:1436061 128594
08:27:14:1636072 128597
08:27:14:1666074 128599
08:27:14:1696076 128600
08:27:14:1726077 128604
08:27:14:1756079 128605
08:27:14:1786081 128607
08:27:14:1826083 128608
08:27:14:1856085 128609
08:27:14:1886086 128610
08:27:14:1936089 128611
08:27:14:1966091 128612
08:27:14:1996093 128614
08:27:14:2026094 128615
08:27:14:2056096 128618
08:27:14:2096098 128619
08:27:14:2126100 128620
08:27:14:2156102 128622
08:27:14:2186104 128623
08:27:14:2246107 128624
08:27:14:2286109 128626
08:27:14:2316111 128627
08:27:14:2356113 128632
08:27:14:2386115 128635
08:27:14:2416117 128638
08:27:14:2446118 128639
08:27:14:2466120 128640
08:27:14:2496121 128641
08:27:14:2526123 128642
08:27:14:2546124 128643
08:27:14:2586126 128644
08:27:14:2606128 128645
08:27:14:2636129 128646
08:27:14:2666131 128648
08:27:14:2686132 128651
08:27:14:2726134 128654
08:27:14:2746136 128659
08:27:14:2776137 128660
08:27:14:2886144 128662
08:27:14:2916145 128663
08:27:14:2946147 128664
08:27:14:2966148 128665
08:27:14:2996150 128666
08:27:14:3026152 128667
08:27:14:3056153 128668
08:27:14:3086155 128670
08:27:14:3106156 128671
08:27:14:3136158 128673
08:27:14:3176160 128677
08:27:14:3196161 128679
08:27:14:3236164 128680
08:27:14:3266165 128681
08:27:14:3296167 128682
08:27:14:3326169 128685
08:27:14:3356171 128686
08:27:14:3386172 128687
08:27:14:3416174 128688
08:27:14:3456176 128689
08:27:14:3496179 128690
08:27:14:3526180 128692
08:27:14:3556182 128693
08:27:14:3586184 128695
08:27:14:3616185 128696
08:27:14:3646187 128697
08:27:14:3676189 128698
08:27:14:3716191 128699
08:27:14:3746193 128700
08:27:14:3786195 128701
08:27:14:3816197 128702
08:27:14:3846199 128711
08:27:14:3876200 128712
08:27:14:3916203 128713
08:27:14:3946204 128714
08:27:14:4126215 128715
08:27:14:4156216 128716
08:27:14:4186218 128717
08:27:14:4216220 128718
08:27:14:4246221 128719
08:27:14:4276223 128720
08:27:14:4306225 128721
08:27:14:4346227 128722
08:27:14:4376229 128723
08:27:14:4406231 128724
08:27:14:4436232 128725
08:27:14:4476235 128726
08:27:14:4586241 128727
08:27:14:4616243 128728
08:27:14:4656245 128729
08:27:14:4686247 128730
08:27:14:4716248 128731
08:27:14:4756251 128732
08:27:14:4786252 128733
08:27:14:4816254 128734
08:27:14:4846256 128735
08:27:14:4876257 128736
08:27:14:4916260 128737
08:27:14:5066268 128738
08:27:14:5096270 128739
08:27:14:5126272 128740
08:27:14:5156273 128741
08:27:14:5186275 128742
08:27:14:5226277 128743
08:27:14:5256279 128744
08:27:14:5286281 128745
08:27:14:5316283 128746
08:27:14:5356285 128747
08:27:14:5526295 128748
08:27:14:5566297 128749
08:27:14:5596299 128750
08:27:14:5636301 128751
08:27:14:5666303 128752
08:27:14:5696304 128753
08:27:14:5736307 128754
08:27:14:5766308 128755
08:27:14:5826312 128756
08:27:14:5866314 128757
08:27:14:5896316 128758
08:27:14:5926318 128759
08:27:14:5956319 128760
08:27:14:5996322 128761
08:27:14:6026323 128762
08:27:14:6056325 128763
08:27:14:6096327 128764
08:27:14:6156331 128765
08:27:14:6186332 128766
08:27:14:6216334 128767
08:27:14:6236335 128768
08:27:14:6266337 128769
08:27:14:6296339 128770
08:27:14:6326340 128771
08:27:14:6356342 128772
08:27:14:6386344 128773
08:27:14:6416346 128774
08:27:14:6446347 128776
08:27:14:6476349 128777
08:27:14:6506351 128778
08:27:14:6536352 128779
08:27:14:6556354 128780
08:27:14:6586355 128781
08:27:14:6636358 128782
08:27:14:6666360 128783
08:27:14:6686361 128784
08:27:14:6716363 128785
08:27:14:6746364 128786
08:27:14:6776366 128788
08:27:14:6806368 128789
08:27:14:6836370 128790
08:27:14:6956376 131001
08:27:14:6996379 131002
08:27:14:7026380 131008
08:27:14:7056382 131015
08:27:14:7086384 131017
08:27:14:7106385 131020
08:27:14:7146387 131021
08:27:14:7166388 131029
08:27:14:7196390 131030
08:27:14:7236392 131035
08:27:14:7266394 131049
08:27:14:7296396 131096
08:27:14:7326398 131111
08:27:14:7356399 131192
08:27:14:7396402 131205
08:27:14:7426403 131216
08:27:14:7546410 131224
08:27:14:7576412 131228
08:27:14:7616414 131230
08:27:14:7646416 131235
08:27:14:7676418 131236
08:27:14:7706419 131244
08:27:14:7746422 131245
08:27:14:7776423 131254
